Region,District,Sub-county,Ever married (10-17years),Never married (10-17years),Total,Ever had a Birth (12-17years),Never had a Birth (12-17years),Total
string,string,string,numeric,numeric,numeric,numeric,numeric,numeric
Western,Kabarole,Kasenda,217,2336,2553,178,1671,1849
Western,Kabarole,Kicwamba,314,3260,3574,253,2400,2653
Western,Kabarole,Kiko Town Council,59,1049,1108,62,755,817
Western,Kabarole,Kijura Town Council,72,857,929,57,600,657
Western,Kabarole,Mugusu,150,2293,2443,182,1599,1781
Western,Kabarole,Ruteete,128,1573,1701,136,1110,1246
Western,Kabarole,Kabarole Total,3243,43356,46599,3190,31136,34326
Western,Kamwenge,Biguli,7461,3811,11272,6930,2583,9513
Western,Kamwenge,Busiriba,6238,3381,9619,5124,2778,7902
Western,Kamwenge,Bwizi,6161,3191,9352,5240,2650,7890
Western,Kamwenge,Kabambiro,3487,1778,5265,2817,1531,4348
Western,Kamwenge,Kahunge,7820,4393,12213,6513,3641,10154
Western,Kamwenge,Kamwenge,5023,2495,7518,4016,2068,6084
Western,Kamwenge,Kamwenge Town Council,4113,2383,6496,3532,1990,5522
Western,Kamwenge,Bihanga,3139,1709,4848,2651,1363,4014
Western,Kamwenge,Nkoma,6883,3460,10343,5977,2714,8691
Western,Kamwenge,Rwamwanja Refugee Camp,8100,3578,11678,7258,2768,10026
Western,Kamwenge,Buhanda,5211,2982,8193,4326,2407,6733
Western,Kamwenge,Kanara,2998,1568,4566,2480,1251,3731
Western,Kamwenge,Kicheche,5756,3719,9475,4737,2868,7605
Western,Kamwenge,Mahyoro,6537,3146,9683,5532,2623,8155
Western,Kamwenge,Ntara,6358,3361,9719,5215,2759,7974
Western,Kamwenge,Nyabbani,4978,2766,7744,3921,2385,6306
Western,Kamwenge,Kamwenge Total,90263,47721,137984,76269,38379,114648
