Region,District,Sub-county,Attending School (6-12 years),Not attending (6-12 years),Never  been to School (15+ years),Primary (15+ years),Secondary and above (15+ years),Total,Literate (18 + years),Not Literate (18 + years),Ever married (10-17years),Never married (10-17years),Total,Ever had a Birth (12-17years),Never had a Birth (12-17years),Total
string,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
Western,Kabale,Kyanamira,3727,153,1873,5741,3827,11441,7671,2354,54,2089,2143,46,1546,1592
Western,Kabale,Maziba,3943,240,2168,6578,2907,11653,7629,2587,67,2154,2221,47,1572,1619
Western,Kabale,Rubaya,5072,791,3385,7997,3022,14404,8662,3743,104,2883,2987,99,2103,2202
Western,Kabale,Bubaare,6590,427,3010,10689,4986,18685,12103,4098,234,3549,3783,204,2638,2842
Western,Kabale,Bufundi,5063,495,3173,7549,2732,13454,7861,3783,173,2712,2885,135,1955,2090
Western,Kabale,Hamurwa,5209,576,2319,8891,2658,13868,8625,3341,223,2723,2946,140,2047,2187
Western,Kabale,Hamurwa Town Council,924,71,510,1660,604,2774,1624,777,33,520,553,18,401,419
Western,Kabale,Ikumba,5729,568,2523,10138,3366,16027,9958,3905,172,3091,3263,134,2269,2403
Western,Kabale,Muko,8922,761,4186,14985,5617,24788,16365,5256,211,4721,4932,142,3437,3579
Western,Kabale,Nyamweru,3453,372,1486,5347,1996,8829,5512,2072,92,1944,2036,55,1454,1509
Western,Kabale,Ruhija,2017,199,859,3202,763,4824,2624,1589,64,885,949,44,633,677
Western,Kabale,Bukinda,1825,76,793,3216,1667,5676,3710,1243,35,966,1001,62,680,742
Western,Kabale,Kamwezi,4812,489,3286,7594,3799,14679,8811,4054,88,2621,2709,72,1937,2009
Western,Kabale,Kashambya,5116,367,2181,8122,3454,13757,8996,2976,129,2682,2811,102,1937,2039
Western,Kabale,Muhanga Town Council,1885,89,901,3318,2573,6792,4925,1101,44,1004,1048,43,722,765
Western,Kabale,Rwamucucu,5115,288,2227,7889,4617,14733,9928,2858,91,2718,2809,83,2003,2086
Western,Kabale,Kabale Total,96173,8218,49496,153143,81505,284144,184244,63604,2576,52245,54821,2188,38276,40464
Western,Kabarole,Eastern Division,2745,144,963,4206,6261,11430,8987,1195,134,1618,1752,109,1285,1394
Western,Kabarole,Southern Division,1930,78,426,3069,6464,9959,8333,601,68,1394,1462,82,1071,1153
Western,Kabarole,Western Division,2420,218,787,3861,6294,10942,8717,1048,74,1588,1662,98,1200,1298
Western,Kabarole,Buheesi,7208,685,3291,11337,3686,18314,11777,4256,241,3348,3589,212,2343,2555
Western,Kabarole,Kabonero,4073,390,1306,5839,2106,9251,5774,2141,202,1793,1995,229,1209,1438
Western,Kabarole,Katebwa,4482,595,1594,5376,2461,9431,5718,2287,205,2016,2221,198,1400,1598
Western,Kabarole,Kibiito,3667,354,1521,5774,2444,9739,6145,2296,132,1757,1889,89,1298,1387
Western,Kabarole,Kibiito Town Council,2409,194,938,3747,2134,6819,4558,1278,51,1298,1349,92,903,995
Western,Kabarole,Kisomoro,4627,434,2058,6936,3207,12201,7675,2907,167,2276,2443,163,1632,1795
Western,Kabarole,Rubona Town Council,1019,61,391,1612,1102,3105,2167,560,35,533,568,26,386,412
Western,Kabarole,Rwimi,3299,344,1801,5345,1756,8902,5294,2507,105,1621,1726,69,1178,1247
Western,Kabarole,Rwimi Town Council,2738,284,1110,4491,2829,8430,5641,1676,93,1497,1590,104,1085,1189
Western,Kabarole,Bukuuku,2139,145,989,3296,1675,5960,3668,1477,47,1096,1143,65,758,823
Western,Kabarole,Busoro,4305,507,2421,7843,4570,14834,10160,2947,145,2351,2496,162,1737,1899
Western,Kabarole,Hakibaale,6385,867,3861,11526,4095,19482,11859,5231,276,3242,3518,242,2299,2541
Western,Kabarole,Karago Town Council,1789,140,756,2608,1873,5237,3523,1045,25,959,984,45,693,738
Western,Kabarole,Karambi,4412,315,1877,7207,5983,15067,10828,2413,159,2462,2621,235,1716,1951
Western,Kabarole,Karangura,2722,253,917,3696,1169,5782,3456,1505,144,1139,1283,102,808,910
Western,Kabarole,Kasenda,4651,717,2427,7524,2248,12199,7141,3427,217,2336,2553,178,1671,1849
Western,Kabarole,Kicwamba,6293,1091,3868,10333,4221,18422,10822,5149,314,3260,3574,253,2400,2653
Western,Kabarole,Kiko Town Council,1952,260,1001,3484,2403,6888,4682,1418,59,1049,1108,62,755,817
Western,Kabarole,Kijura Town Council,1674,308,1080,3703,1312,6095,3949,1517,72,857,929,57,600,657
Western,Kabarole,Mugusu,4572,565,1895,7335,3202,12432,8090,2671,150,2293,2443,182,1599,1781
Western,Kabarole,Ruteete,3241,471,1741,5492,2369,9602,6107,2349,128,1573,1701,136,1110,1246
Western,Kabarole,Kabarole Total,84752,9420,39019,135640,75864,250523,165071,53901,3243,43356,46599,3190,31136,34326
Western,Kamwenge,Biguli,11068,19077,3610,10750,3088,17448,10466,4928,7461,3811,11272,6930,2583,9513
Western,Kamwenge,Busiriba,9291,15409,2711,8566,2672,13949,8399,3646,6238,3381,9619,5124,2778,7902
Western,Kamwenge,Bwizi,9282,15878,3107,8693,2066,13866,7792,4349,6161,3191,9352,5240,2650,7890
Western,Kamwenge,Kabambiro,5181,8372,1784,4597,1172,7553,4251,2345,3487,1778,5265,2817,1531,4348
Western,Kamwenge,Kahunge,12414,19672,3982,10882,3362,18226,10646,5189,7820,4393,12213,6513,3641,10154
Western,Kamwenge,Kamwenge,7259,12259,2476,6859,1789,11124,6395,3288,5023,2495,7518,4016,2068,6084
Western,Kamwenge,Kamwenge Town Council,6372,10103,1413,5258,3576,10247,7112,1953,4113,2383,6496,3532,1990,5522
Western,Kamwenge,Bihanga,4580,8153,1672,4353,1217,7242,4357,2008,3139,1709,4848,2651,1363,4014
Western,Kamwenge,Nkoma,9844,18035,3447,9456,3198,16101,9659,4417,6883,3460,10343,5977,2714,8691
Western,Kamwenge,Rwamwanja Refugee Camp,6572,27380,8952,5760,2738,17450,6856,9041,8100,3578,11678,7258,2768,10026
Western,Kamwenge,Buhanda,9290,12258,2335,6983,2581,11899,7363,3042,5211,2982,8193,4326,2407,6733
Western,Kamwenge,Kanara,4364,7686,1683,4047,930,6660,3405,2437,2998,1568,4566,2480,1251,3731
Western,Kamwenge,Kicheche,10152,13779,1910,8185,4369,14464,9793,2760,5756,3719,9475,4737,2868,7605
Western,Kamwenge,Mahyoro,9126,16625,3300,8985,2773,15058,8954,4384,6537,3146,9683,5532,2623,8155
Western,Kamwenge,Ntara,10733,14794,2537,8671,2796,14004,8584,3640,6358,3361,9719,5215,2759,7974
Western,Kamwenge,Nyabbani,8487,11395,1971,6754,2400,11125,6808,2798,4978,2766,7744,3921,2385,6306
Western,Kamwenge,Kamwenge Total,134015,230875,46890,118799,40727,206416,120840,60225,90263,47721,137984,76269,38379,114648
Western,Kanungu,Butogota Town Council,1833,248,918,2914,1783,5615,3607,1259,91,974,1065,84,711,795
Western,Kanungu,Inyanga,4513,246,1576,6892,3416,11884,7722,2517,154,2259,2413,148,1659,1807
Western,Kanungu,Kambuga,1011,32,384,1495,1542,3421,2436,512,21,630,651,24,476,500
Western,Kanungu,Kambuga Town Council,2588,220,950,4410,2974,8334,5665,1510,169,1399,1568,69,1129,1198
Western,Kanungu,Kanungu Town Council,3803,234,1282,5814,2873,9969,6391,2258,80,1840,1920,45,1378,1423
Western,Kanungu,Kanyantorogo,1349,1392,92,521,2280,2893,3764,2396,40,711,751,31,519,550
Western,Kanungu,Katete,5463,764,2507,8204,3321,14032,8243,3951,144,2784,2928,116,2030,2146
Western,Kanungu,Kayonza,3316,534,1742,5519,1939,9200,5520,2498,101,1768,1869,97,1269,1366
Western,Kanungu,Kihihi,3588,183,1362,5509,4111,10982,7455,2003,56,2063,2119,67,1531,1598
Western,Kanungu,Kihiihi Town Council,1649,183,697,2870,625,4192,2362,1288,63,809,872,19,606,625
Western,Kanungu,Kinaaba,3467,217,1276,5490,2693,9459,6129,2091,154,1723,1877,129,1244,1373
Western,Kanungu,Kirima,2408,377,1132,3680,692,5504,3419,1350,77,1166,1243,41,835,876
Western,Kanungu,Mpungu,1700,115,670,2726,1362,4758,2954,1152,15,897,912,19,633,652
Western,Kanungu,Nyakinoni,3653,324,1570,6106,2082,9758,5929,2624,84,1823,1907,113,1222,1335
Western,Kanungu,Nyamirama,1472,112,643,2267,1023,3933,2508,891,38,727,765,18,549,567
Western,Kanungu,Rugyeyo,4145,217,1468,6851,2993,11312,6263,3434,112,2188,2300,102,1588,1690
Western,Kanungu,Rutenga,2542,325,1079,4702,1155,6936,4003,1988,156,1278,1434,87,1001,1088
Western,Kanungu,Kanungu Total,48543,4423,19777,77729,35547,133053,83002,32234,1555,25039,26594,1209,18380,19589
Western,Kasese,Bulembia Division,2591,212,888,2924,2861,6673,4203,1574,86,1312,1398,104,922,1026
Western,Kasese,Central Division,5154,406,1563,6084,9599,17246,12971,2170,201,3084,3285,290,2168,2458
Western,Kasese,Nyamwamba Division,9406,478,2690,12942,15774,31406,23035,4732,414,5021,5435,423,3742,4165
Western,Kasese,Bwera,3398,426,1813,4650,2315,8778,4625,2898,112,1851,1963,97,1362,1459
Western,Kasese,Ihandiro,2607,365,1095,3865,1423,6383,3724,1826,99,1185,1284,111,842,953
Western,Kasese,Isango,1525,221,789,2292,1120,4201,2185,1384,209,3976,4185,201,2919,3120
Western,Kasese,Karambi,4743,719,2213,7426,3599,13238,7348,3994,138,1695,1833,200,1148,1348
Western,Kasese,Kisinga,7456,901,3997,10596,6573,21166,12308,6166,310,4124,4434,247,2990,3237
Western,Kasese,Kitholhu,3233,662,1804,4460,1918,8182,4539,2472,158,2287,2445,141,1581,1722
Western,Kasese,Kyarumba,8566,1072,3539,11359,4843,19741,10964,6097,111,1985,2096,107,1406,1513
Western,Kasese,Kyondo,5071,507,1526,6859,2885,11270,6515,3251,371,5304,5675,389,3881,4270
Western,Kasese,Mahango,4196,422,1763,5135,2218,9116,4918,2957,278,3265,3543,345,2275,2620
Western,Kasese,Mpondwe-Lhubiriha,9170,900,4743,12832,9873,27448,16530,7122,11,538,549,8,402,410
Western,Kasese,Munkunyu,6185,969,2999,9680,4566,17245,9181,5779,237,2983,3220,189,2203,2392
Western,Kasese,Nyakatonzi,1054,80,680,1103,821,2604,1412,825,223,3461,3684,276,2334,2610
Western,Kasese,Nyakiyumbu,5448,1017,3797,8224,3255,15276,7375,5774,167,1705,1872,168,1174,1342
Western,Kasese,Bugoye,7249,677,2475,9464,5322,17261,10204,4795,190,1901,2091,152,1333,1485
Western,Kasese,Buhuhira,3928,400,1471,4714,2111,8296,4653,2475,82,1135,1217,147,748,895
Western,Kasese,Bwesumbu,4361,822,2017,5338,1628,8983,4845,2933,57,1035,1092,39,749,788
Western,Kasese,Hima Town Council,2333,138,1214,2828,3212,7254,4962,1491,30,475,505,31,343,374
Western,Kasese,Karusandara,2207,241,1366,3531,1278,6175,3465,2021,74,1311,1385,106,879,985
Western,Kasese,Katwe Kabatoro Town Council,1042,39,697,1698,1214,3609,2074,1174,238,2716,2954,202,1965,2167
